Teilnehmende Vorname,Teilnehmende Nachname,Selbstzugeschriebenes Gender,Veto,Zugewiesene Rolle,Rollen-Gender,Genderwünsche erfüllt?
Vorname_1,Nachname_1,Divers,Kein,Ailyn (Kim) Sering,Divers,Ja
Vorname_2,Nachname_2,Weiblich,Kein,Kara Beil,Weiblich,Ja
Vorname_3,Nachname_3,Männlich,Männlich,Lehrkraft Alidoust,Unisex,Ja
Vorname_4,Nachname_4,Divers,Divers,Lehrkraft Amara,Unisex,Ja
Vorname_5,Nachname_5,Weiblich,Kein,Sina Knopf,Weiblich,Ja
Vorname_6,Nachname_6,Männlich,Kein,Cem Ask,Männlich,Ja
Vorname_7,Nachname_7,Weiblich,Kein,Ava Rittersprung,Weiblich,Ja
Vorname_8,Nachname_8,Männlich,Divers,Johannes Frieden,Männlich,Ja
Vorname_9,Nachname_9,Männlich,Divers,Leon Huber,Männlich,Ja
Vorname_10,Nachname_10,Divers,Kein,Test2 Test2,Divers,Ja
Vorname_11,Nachname_11,Männlich,Kein,Max Krüger,Männlich,Ja
Vorname_12,Nachname_12,Divers,Kein,Lehrkraft Böhmer,Unisex,Ja
Vorname_13,Nachname_13,Männlich,Kein,Julius Mair,Männlich,Ja
Vorname_14,Nachname_14,Männlich,Kein,Yagmur Metiner,Männlich,Ja
Vorname_15,Nachname_15,Männlich,Kein,Martin Musalaha,Männlich,Ja
Vorname_16,Nachname_16,Männlich,Kein,Leo Müller,Männlich,Ja
Vorname_17,Nachname_17,Männlich,Weiblich,Mike Sreca,Männlich,Ja
Vorname_18,Nachname_18,Divers,Kein,Förderschullehrkraft Deghan,Unisex,Ja
Vorname_19,Nachname_19,Männlich,Kein,Erwin Koch,Männlich,Ja
Vorname_20,Nachname_20,Weiblich,Kein,Lilli Unhoch,Weiblich,Ja
Vorname_21,Nachname_21,Männlich,Weiblich,Toni Klein,Unisex,Ja
Vorname_22,Nachname_22,Weiblich,Divers,Leonie Wagner,Weiblich,Ja
Vorname_23,Nachname_23,Divers,Kein,Jona Lautner,Unisex,Ja
Vorname_24,Nachname_24,Weiblich,Kein,Issa Linda,Unisex,Ja
Vorname_25,Nachname_25,Weiblich,Kein,Bente Stumpf,Unisex,Ja
Vorname_26,Nachname_26,Divers,Kein,Lehrkraft Zöpfel,Unisex,Ja
Vorname_27,Nachname_27,Weiblich,Männlich,Maria Jung,Weiblich,Ja
Vorname_28,Nachname_28,Weiblich,Kein,Hannah Mittermeier,Weiblich,Ja
Vorname_29,Nachname_29,Divers,Weiblich,Lehrkraft Emminger,Unisex,Ja
Vorname_30,Nachname_30,Weiblich,Männlich,Lehrkraft Hans-Meric,Unisex,Ja
Vorname_31,Nachname_31,Männlich,Divers,Schulleitung von Buchtahl,Unisex,Ja
Vorname_32,Nachname_32,Divers,Kein,Schulsozialarbeit Adeyemi,Unisex,Ja
Vorname_33,Nachname_33,Divers,Kein,Wanja Liu,Unisex,Ja
